date,city,country,temperature,feels_like,humidity,pressure,weather,wind_speed
2026-06-13,Yalova,TR,20.82,21.18,85,1014,kapalı,2.62
2026-06-13,İstanbul,TR,19.82,20.47,100,1014,kapalı,3.66
2026-06-13,Ankara,TR,16.78,16.76,86,1013,kapalı,2.87
2026-06-13,Bursa,TR,16.16,16.1,87,1014,kapalı,1.11
2026-06-13,Kocaeli,TR,12.72,12.61,98,1014,parçalı az bulutlu,0.53
