date,city,country,temperature,feels_like,humidity,pressure,weather,wind_speed
2026-09-13,Yalova,TR,20.26,20.38,78,1015,açık,1.91
2026-09-13,İstanbul,TR,19.82,20.42,98,1014,parçalı az bulutlu,5.14
2026-09-13,Ankara,TR,15.51,13.95,32,1015,açık,1.04
2026-09-13,Bursa,TR,14.98,14.34,69,1015,parçalı az bulutlu,0.69
2026-09-13,Kocaeli,TR,9.83,9.83,93,1014,az bulutlu,0.81
