date,city,country,temperature,feels_like,humidity,pressure,weather,wind_speed
2026-05-09,Yalova,TR,17.52,17.6,87,1015,parçalı bulutlu,1.08
2026-05-09,İstanbul,TR,15.21,15.24,94,1015,açık,0
2026-05-09,Ankara,TR,13.22,12.82,85,1017,parçalı bulutlu,0.83
2026-05-09,Bursa,TR,12.45,11.92,83,1016,parçalı bulutlu,0.97
2026-05-09,Kocaeli,TR,10.83,10.37,92,1015,parçalı bulutlu,2.13
