date,city,country,temperature,feels_like,humidity,pressure,weather,wind_speed
2026-09-15,Yalova,TR,20.26,20.25,73,1016,kapalı,4.92
2026-09-15,İstanbul,TR,19.45,19.83,91,1017,kapalı,4.63
2026-09-15,Ankara,TR,18.45,17.66,50,1015,parçalı az bulutlu,2.28
2026-09-15,Bursa,TR,18.37,18.35,80,1016,kapalı,2.35
2026-09-15,Kocaeli,TR,13.83,13.54,87,1017,kapalı,2.66
